passid	gene.symbol	gene.feature	celltype.class	localisation.class	upstream.length	smodel.26Feb2017.half.life[hours]	smodel.26Feb2017.r.square	smodel.12Jun2017.half.life[hours]	smodel.12Jun2017.r.square
revgroup00001495	Stxbp5	intron	neuron-enriched	not-localised	6690	0.000000	-1.000000	13.392750	0.402850
revgroup00001504	Stxbp5	intron	neuron-enriched	not-localised	4275	0.000000	-1.000000	1.501553	0.412104
revgroup00001756	Rab32	3pUTR_extended	glia-enriched	not-localised	2369	0.000000	-1.000000	8.984211	0.740475
revgroup00001780	Grm1	3pUTR_extended	neuron-enriched	not-localised	2840	4.813033	0.657214	7.010391	0.764999
revgroup00001801	Grm1	3pUTR	neuron-enriched	not-localised	278	11.414511	0.756520	12.903561	0.841524
fwdgroup00001770	Shprh	3pUTR	others	somata	1682	12.705790	0.830394	13.223991	0.871786
fwdgroup00001789	Shprh	3pUTR_extended	others	neuropil	7296	26.938567	0.221295	25.148320	0.305263
fwdgroup00001821	Fbxo30	3pUTR	tissue	not-localised	97	0.000000	-1.000000	7.126237	0.902289
fwdgroup00001826	Fbxo30	3pUTR	glia-enriched	neuropil	808	1.275339	0.981705	0.814378	0.995791
fwdgroup00001835	Fbxo30	3pUTR_extended	glia-enriched	not-localised	2297	1.227609	0.771678	1.548816	0.840152
revgroup00002234	Utrn	3pUTR_extended	glia-enriched	neuropil	1993	2.565363	0.862617	3.101586	0.879351
revgroup00002391	Utrn	intron	glia-enriched	not-localised	1383	0.000000	-1.000000	4.255468	0.697723
revgroup00002498	Stx11	3pUTR_extended	glia-enriched	cell-culture	3390	0.000000	-1.000000	7.683742	0.841853
fwdgroup00002217	Sf3b5	3pUTR	glia-enriched	not-localised	307	25.909524	0.599518	24.979252	0.518849
revgroup00002634	Ltv1	3pUTR	others	not-localised	244	5.902213	0.892692	6.634292	0.904095
revgroup00002664	Phactr2	3pUTR_extended	glia-enriched	cell-culture	6731	0.000000	-1.000000	54.149150	0.699107
revgroup00002671	Phactr2	3pUTR_extended	glia-enriched	cell-culture	3332	0.000000	-1.000000	2.137120	0.482340
revgroup00002686	Phactr2	3pUTR_extended	glia-enriched	not-localised	839	0.000000	-1.000000	18.475856	0.643495
fwdgroup00002411	Fuca2	3pUTR	glia-enriched	not-localised	133	24.000000	0.890927	38.132560	0.841980
revgroup00002760	Pex3	3pUTR_extended	neuron-enriched	not-localised	906	10.736745	0.741219	10.416736	0.719288
revgroup00002765	Pex3	3pUTR	neuron-enriched	not-localised	122	5.333180	0.982687	6.536155	0.926759
revgroup00002790	Pex3	intron	tissue	not-localised	1674	0.000000	-1.000000	12.420376	0.630255
fwdgroup00002477	Adat2	3pUTR	glia-enriched	not-localised	582	24.000000	0.201439	0.959530	0.172432
fwdgroup00002479	Adat2	3pUTR_extended	tissue	not-localised	1442	0.000000	-1.000000	9.404134	0.840526
fwdgroup00002482	Adat2	3pUTR_extended	glia-enriched	cell-culture	2067	0.000000	-1.000000	6.433034	0.908490
fwdgroup00002487	Adat2	3pUTR_extended	glia-enriched	not-localised	2860	21.455569	0.593005	20.954820	0.645070
revgroup00002852	Aig1	3pUTR	neuron-enriched	not-localised	617	25.093624	0.859803	32.859365	0.778758
fwdgroup00002792	Hivep2	3pUTR	neuron-enriched	not-localised	1027	2.321893	0.819112	2.936054	0.840019
fwdgroup00002795	Hivep2	3pUTR	neuron-enriched	not-localised	1646	7.293449	0.834136	6.553676	0.776227
revgroup00003352	Vta1	3pUTR_extended	others	not-localised	1994	3.294234	0.188717	5.587037	0.360278
revgroup00003362	Vta1	3pUTR_extended	others	not-localised	919	0.000000	-1.000000	32.436980	0.469765
revgroup00003368	Vta1	3pUTR	others	not-localised	349	24.000000	0.964900	17.124585	0.956312
fwdgroup00003013	Nmbr	3pUTR_extended	neuron-enriched	not-localised	898	14.251342	0.973174	14.502784	0.718710
revgroup00003764	Rn5-8s	CDS_extended	neuron-enriched	not-localised	1512	0.000000	-1.000000	25.725522	0.511041
revgroup00003767	Rn5-8s	CDS_extended	neuron-enriched	cell-culture	568	0.000000	-1.000000	18.039503	0.141951
revgroup00003778	LOC310926	intron	neuron-enriched	not-localised	2048	0.000000	-1.000000	4.215788	0.561461
fwdgroup00003402	Rn5-8s	CDS_extended	neuron-enriched	not-localised	1475	0.000000	-1.000000	11.185094	0.533302
fwdgroup00003414	Rn5-8s	CDS_extended	neuron-enriched	not-localised	4978	0.000000	-1.000000	5.706885	0.491022
fwdgroup00003698	Cited2	3pUTR	shared	not-localised	50	3.478672	0.785484	4.363868	0.748194
fwdgroup00003700	Cited2	3pUTR	shared	not-localised	925	3.506335	0.955568	3.429011	0.920335
revgroup00004229	Heca	3pUTR	glia-enriched	not-localised	3165	5.914755	0.797163	7.311398	0.762072
revgroup00004240	Heca	3pUTR	glia-enriched	not-localised	1784	0.000000	-1.000000	6.908893	0.761128
revgroup00004347	Abracl	3pUTR	glia-enriched	somata	371	5.475084	0.990958	6.341879	0.915454
fwdgroup00003911	Reps1	intron	glia-enriched	not-localised	380	0.000000	-1.000000	8.251520	0.874718
revgroup00004416	Ccdc28a	3pUTR_extended	others	somata	498	7.751505	0.886296	8.218387	0.879659
revgroup00004548	Hebp2	3pUTR_extended	tissue	not-localised	17579	24.000000	0.028444	3.402561	0.336133
revgroup00004617	Hebp2	3pUTR	glia-enriched	not-localised	339	21.567904	0.560017	31.310790	0.550800
fwdgroup00004201	Perp	3pUTR_extended	others	not-localised	1191	24.000000	0.397840	21.045352	0.442825
fwdgroup00004394	Ifngr1	3pUTR_extended	glia-enriched	neuropil	481	5.665708	0.879254	6.260005	0.860956
fwdgroup00004398	Ifngr1	3pUTR_extended	tissue	not-localised	1414	0.000000	-1.000000	14.477322	0.694253
revgroup00004972	Slc35d3	3pUTR_extended	glia-enriched	not-localised	902	1.110517	0.468323	1.253503	0.538083
revgroup00004990	Pex7	3pUTR_extended	tissue	not-localised	1062	0.000000	-1.000000	19.775608	0.592844
revgroup00004997	Pex7	3pUTR_extended	others	neuropil	401	13.817549	0.972426	14.261048	0.902872
revgroup00005001	Pex7	intron	others	cell-culture	12455	0.000000	-1.000000	20.373283	0.152109
fwdgroup00004649	Map3k5	CDS_extended	others	not-localised	681	0.000000	-1.000000	3.640894	0.954266
fwdgroup00004651	Map3k5	CDS_extended	others	not-localised	1298	0.000000	-1.000000	13.311705	0.631094
fwdgroup00004755	Map7	3pUTR	others	not-localised	138	0.000000	-1.000000	15.702993	0.695355
fwdgroup00004764	Map7	3pUTR	others	not-localised	1603	6.965999	0.963484	7.603461	0.928274
fwdgroup00004874	Bclaf1	3pUTR	glia-enriched	not-localised	208	4.503020	0.940499	5.780423	0.935544
fwdgroup00004894	Bclaf1	3pUTR_extended	glia-enriched	somata	2409	4.319268	0.813519	5.405619	0.820378
fwdgroup00004901	Bclaf1	3pUTR_extended	glia-enriched	not-localised	7431	4.264598	0.435337	13.985481	0.657646
fwdgroup00004913	Mtfr2	3pUTR	glia-enriched	not-localised	685	0.000000	-1.000000	0.039744	0.870121
revgroup00005372	Pde7b	3pUTR_extended	others	not-localised	3318	3.459370	0.902909	4.435310	0.846610
fwdgroup00005100	Hbs1l	intron	neuron-enriched	not-localised	5524	0.000000	-1.000000	8.904548	0.559143
fwdgroup00005189	Hbs1l	3pUTR	neuron-enriched	not-localised	571	19.681590	0.910199	18.323750	0.766183
fwdgroup00005223	Hbs1l	3pUTR_extended	neuron-enriched	not-localised	11260	1.490494	0.653081	6.256558	0.692541
revgroup00005712	Ptprk	3pUTR_extended	shared	not-localised	1433	5.123815	0.894712	6.746891	0.761911
revgroup00005718	Ptprk	3pUTR_extended	shared	not-localised	859	0.000000	-1.000000	4.142117	0.884181
revgroup00005719	Ptprk	3pUTR_extended	shared	not-localised	526	9.551558	0.651790	13.110180	0.617258
revgroup00005721	Ptprk	3pUTR_extended	shared	not-localised	164	3.675321	0.959215	5.211950	0.957205
revgroup00005767	Ptprk	intron	shared	not-localised	5400	0.000000	-1.000000	15.340110	0.793113
revgroup00005778	Ptprk	intron	tissue	not-localised	4598	0.000000	-1.000000	38.329799	0.435817
fwdgroup00005451	Ahi1	intron	others	not-localised	411	0.000000	-1.000000	16.328428	0.433001
revgroup00006003	Ptprk	intron	tissue	not-localised	7466	0.000000	-1.000000	3.827445	0.588989
revgroup00006017	Ptprk	intron	shared	cell-culture	8570	0.000000	-1.000000	26.675617	0.164203
revgroup00006035	Ptprk	intron	shared	not-localised	18957	0.000000	-1.000000	71.207736	0.660796
revgroup00006266	Arhgap18	3pUTR_extended	glia-enriched	not-localised	219	1.553037	0.923394	1.762787	0.942778
revgroup00006458	Samd3	CDS_extended	tissue	not-localised	11412	0.000000	-1.000000	0.000000	0.270143
fwdgroup00006069	Tmem200a	3pUTR	tissue	not-localised	1106	0.000000	-1.000000	11.872044	0.873274
fwdgroup00006070	Tmem200a	3pUTR_extended	others	somata	1695	2.179527	0.982638	2.411677	0.700199
fwdgroup00006111	Tmem200a	3pUTR_extended	others	somata	12160	6.550257	0.224725	23.541452	0.277656
fwdgroup00006123	Tmem200a	3pUTR_extended	tissue	not-localised	15329	0.000000	-1.000000	7.846793	0.839335
fwdgroup00006144	Tmem200a	3pUTR_extended	others	not-localised	19479	3.378766	0.480081	8.120955	0.398699
fwdgroup00006447	Akap7	CDS_extended	neuron-enriched	neuropil	1835	0.000000	-1.000000	15.205205	0.802730
fwdgroup00006511	Arg1	3pUTR_extended	neuron-enriched	not-localised	390	24.000000	0.177154	2.929865	0.343805
revgroup00006952	Med23	3pUTR	others	not-localised	530	4.506721	0.972415	4.838956	0.958949
fwdgroup00006590	Enpp3	3pUTR_extended	tissue	not-localised	89	0.000000	-1.000000	20.506857	0.425114
fwdgroup00006626	Enpp1	CDS_extended	tissue	not-localised	35	0.000000	-1.000000	11.420802	0.909226
fwdgroup00006630	Enpp1	CDS_extended	tissue	not-localised	1236	0.000000	-1.000000	15.700710	0.588538
fwdgroup00006637	Enpp1	CDS_extended	tissue	not-localised	3912	0.000000	-1.000000	21.233003	0.734868
revgroup00007091	Ctgf	3pUTR_extended	glia-enriched	not-localised	1068	3.496610	0.457612	3.337105	0.442511
revgroup00007336	LOC100910237	3pUTR_extended	glia-enriched	not-localised	183	24.000000	0.522768	6.262383	0.521738
fwdgroup00006881	Rps12	3pUTR_extended	glia-enriched	not-localised	59	20.583395	0.269136	18.658150	0.624571
fwdgroup00007012	Eya4	3pUTR_extended	others	not-localised	3269	5.997152	0.452293	7.654382	0.490624
fwdgroup00007072	Tbpl1	intron	tissue	not-localised	16925	0.000000	-1.000000	2.669373	0.871647
revgroup00007548	Slc2a12	3pUTR_extended	glia-enriched	not-localised	3505	0.000000	-1.000000	10.201795	0.681141
fwdgroup00007097	Tbpl1	3pUTR	neuron-enriched	somata	445	4.693426	0.983421	4.881420	0.974152
revgroup00007559	Slc2a12	3pUTR	tissue	not-localised	1916	0.566771	0.634778	2.660453	0.806842
fwdgroup00007113	Tbpl1	3pUTR_extended	neuron-enriched	not-localised	1928	7.417626	0.938307	8.348142	0.889821
revgroup00007610	Sgk1	3pUTR	others	not-localised	1072	1.456775	0.971174	0.821463	0.934069
fwdgroup00008115	Rnf217	3pUTR_extended	glia-enriched	not-localised	762	2.309042	0.988053	2.421504	0.949523
fwdgroup00008147	Rnf217	3pUTR_extended	tissue	not-localised	8484	0.000000	-1.000000	9.646232	0.930403
fwdgroup00008150	Rnf217	3pUTR_extended	glia-enriched	not-localised	9557	3.783607	0.871782	4.611789	0.877212
revgroup00008391	Hddc2	3pUTR_extended	others	not-localised	12778	0.000259	0.256308	7.663407	0.334035
revgroup00008396	Hddc2	3pUTR_extended	others	cell-culture	10474	0.000000	-1.000000	23.464560	0.448972
fwdgroup00008206	Tpd52l1	3pUTR	neuron-enriched	neuropil	616	24.000000	0.697399	8.081938	0.495265
revgroup00008438	Hddc2	3pUTR_extended	others	not-localised	308	10.434631	0.879777	10.539858	0.788504
fwdgroup00008296	Hey2	3pUTR	others	neuropil	1332	0.877232	0.776435	1.095589	0.581935
fwdgroup00008309	Hey2	3pUTR_extended	tissue	not-localised	15090	1.124681	0.978514	2.567027	0.960883
fwdgroup00008480	Hint3	3pUTR	neuron-enriched	not-localised	410	17.913599	0.762547	17.220733	0.738079
fwdgroup00008496	Hint3	3pUTR_extended	neuron-enriched	not-localised	2361	168.147281	0.002742	100.326405	0.014631
fwdgroup00008527	Trmt11	3pUTR_extended	glia-enriched	not-localised	484	5.460516	0.660136	11.844703	0.697058
fwdgroup00008597	Cenpw	3pUTR	glia-enriched	cell-culture	219	0.000000	-1.000000	9.238261	0.607116
fwdgroup00008702	Rspo3	3pUTR_extended	neuron-enriched	cell-culture	1005	2.497394	0.865424	3.090075	0.876929
fwdgroup00008706	Rspo3	3pUTR_extended	neuron-enriched	not-localised	1679	6.546718	0.710370	7.579187	0.778203
fwdgroup00008776	Rnf146	3pUTR	tissue	not-localised	153	0.000000	-1.000000	2.293091	0.955627
revgroup00008958	Echdc1	3pUTR_extended	tissue	not-localised	1935	1.211381	0.782647	8.648586	0.850994
fwdgroup00008777	Rnf146	3pUTR	neuron-enriched	not-localised	654	1.823235	0.985183	2.144305	0.972513
revgroup00008963	Echdc1	3pUTR_extended	others	not-localised	825	36.469216	0.791276	29.260424	0.773368
revgroup00008964	Echdc1	3pUTR	others	not-localised	272	0.000000	-1.000000	0.780708	0.166104
fwdgroup00008804	Rnf146	3pUTR_extended	tissue	not-localised	5434	0.000000	-1.000000	7.759056	0.879614
revgroup00008982	Echdc1	intron	tissue	not-localised	2253	0.000000	-1.000000	22.922058	0.541546
revgroup00009027	Soga3	3pUTR_extended	neuron-enriched	not-localised	13128	10.172347	0.511554	12.598313	0.661869
revgroup00009067	Soga3	3pUTR_extended	neuron-enriched	not-localised	2787	1.057826	0.463986	2.462363	0.555753
revgroup00009080	Soga3	3pUTR_extended	neuron-enriched	not-localised	1975	7.959355	0.516181	9.032751	0.588765
revgroup00009088	Soga3	3pUTR	neuron-enriched	not-localised	459	4.937852	0.845206	5.453506	0.852689
revgroup00009317	Ccdc127	3pUTR_extended	others	not-localised	4532	19.334676	0.665738	19.848934	0.621336
revgroup00009337	Ccdc127	3pUTR_extended	others	not-localised	1524	23.055411	0.609235	21.306811	0.650715
revgroup00009340	Ccdc127	3pUTR_extended	others	not-localised	588	10.840033	0.632566	12.112440	0.694809
fwdgroup00009214	Sdha	3pUTR_extended	neuron-enriched	not-localised	266	24.000000	0.809015	1.260203	0.785041
fwdgroup00009215	Sdha	3pUTR_extended	neuron-enriched	not-localised	863	24.000000	0.912782	0.021527	0.495117
fwdgroup00009247	Pdcd6	3pUTR	others	not-localised	448	14.240068	0.918313	14.499491	0.813817
fwdgroup00009319	Exoc3	3pUTR	neuron-enriched	not-localised	82	4.500632	0.923076	5.497658	0.863144
fwdgroup00009344	Exoc3	3pUTR_extended	neuron-enriched	not-localised	2319	8.028027	0.904437	8.890990	0.890809
fwdgroup00009345	Exoc3	3pUTR_extended	neuron-enriched	not-localised	2674	6.413263	0.912843	6.195026	0.838309
revgroup00009523	Tppp	3pUTR_extended	neuron-enriched	not-localised	6457	13.154023	0.818264	14.648799	0.840108
revgroup00009537	Tppp	3pUTR_extended	neuron-enriched	not-localised	4424	24.000000	0.590756	9.749325	0.662065
revgroup00009596	Brd9	3pUTR	others	not-localised	502	17.676558	0.828189	14.008894	0.803663
revgroup00009651	Brd9	CDS	others	not-localised	135	0.000000	-1.000000	3.781548	0.821928
fwdgroup00009521	Trip13	intron	glia-enriched	cell-culture	776	0.000000	-1.000000	2.261955	0.696012
fwdgroup00009547	Nkd2	3pUTR	neuron-enriched	not-localised	229	9.343826	0.627904	10.767180	0.769550
fwdgroup00009560	Nkd2	3pUTR_extended	neuron-enriched	not-localised	2479	0.000000	-1.000000	5.960420	0.521710
revgroup00009681	Slc12a7	3pUTR	glia-enriched	not-localised	1702	0.000000	-1.000000	7.126328	0.916438
revgroup00009721	Tert	CDS_extended	glia-enriched	cell-culture	837	0.000000	-1.000000	3.498741	0.774757
revgroup00009740	Clptm1l	3pUTR	others	not-localised	468	22.613152	0.867279	21.176895	0.725120
revgroup00009781	Lpcat1	3pUTR	glia-enriched	not-localised	1862	2.299568	0.910632	3.226030	0.861224
revgroup00009789	Lpcat1	3pUTR	glia-enriched	cell-culture	561	0.000000	-1.000000	21.415209	0.539115
revgroup00010257	Med10	3pUTR	neuron-enriched	not-localised	391	5.730919	0.966027	5.821225	0.939586
fwdgroup00010310	Ube2ql1	3pUTR	neuron-enriched	not-localised	586	5.838344	0.875081	7.705697	0.852421
fwdgroup00010311	Ube2ql1	3pUTR	neuron-enriched	somata	1168	18.583712	0.939628	17.209147	0.852484
revgroup00010343	Nsun2	3pUTR	glia-enriched	not-localised	552	14.928792	0.894783	15.062333	0.596425
fwdgroup00010428	Srd5a1	3pUTR	neuron-enriched	neuropil	1690	24.000000	0.357551	5.823974	0.404689
fwdgroup00010486	Papd7	3pUTR	neuron-enriched	not-localised	1956	1.792147	0.934758	2.254519	0.953943
fwdgroup00010730	Adcy2	intron	shared	neuropil	24472	0.000000	-1.000000	20.769244	0.451448
fwdgroup00010758	Adcy2	intron	shared	not-localised	2814	0.000000	-1.000000	0.000000	0.133321
fwdgroup00010801	Adcy2	3pUTR	shared	not-localised	658	24.000000	0.892876	29.372248	0.766437
revgroup00010751	Fastkd3	3pUTR_extended	others	not-localised	244	2.323097	0.975171	2.920282	0.973761
fwdgroup00010911	Mtrr	3pUTR	glia-enriched	not-localised	766	10.132947	0.881501	10.350498	0.821898
fwdgroup00010913	Mtrr	3pUTR_extended	glia-enriched	not-localised	1235	2.271595	0.730917	4.101224	0.759484
revgroup00010847	LOC680200	3pUTR	others	not-localised	61	1.668672	0.942806	4.354313	0.948277
revgroup00010922	RGD1566325	3pUTR_extended	glia-enriched	not-localised	2073	1.854407	0.918070	1.734609	0.834676
revgroup00010930	RGD1566325	3pUTR_extended	glia-enriched	not-localised	1141	1.109971	0.941158	4.302109	0.937347
revgroup00010954	LOC682870	3pUTR_extended	others	not-localised	1705	2.342591	0.794242	5.626786	0.803365
fwdgroup00011324	Ppp1r14c	intron	glia-enriched	cell-culture	1613	0.000000	-1.000000	1.580114	0.826951
fwdgroup00011362	Ppp1r14c	3pUTR	glia-enriched	not-localised	91	0.000000	-1.000000	3.518982	0.791919
fwdgroup00011375	Ppp1r14c	3pUTR	glia-enriched	not-localised	1452	10.827336	0.692233	10.712514	0.708361
fwdgroup00011488	Plekhg1	intron	tissue	not-localised	3966	0.000000	-1.000000	5.955560	0.499108
fwdgroup00011604	Plekhg1	3pUTR_extended	neuron-enriched	not-localised	2494	1.811983	0.961992	2.598609	0.859550
fwdgroup00011613	Plekhg1	3pUTR_extended	tissue	not-localised	3861	0.000000	-1.000000	14.126090	0.900338
fwdgroup00011734	Mthfd1l	3pUTR_extended	others	not-localised	462	42.035718	0.672927	5.517251	0.588659
fwdgroup00011860	Akap12	3pUTR	glia-enriched	not-localised	1001	15.417370	0.767887	15.612908	0.780937
revgroup00011762	Zbtb2	3pUTR	glia-enriched	not-localised	1502	1.623779	0.984976	1.388229	0.951396
revgroup00011813	Rmnd1	CDS_extended	neuron-enriched	somata	634	0.000000	-1.000000	6.336563	0.940962
revgroup00011844	Rmnd1	intron	tissue	not-localised	899	0.000000	-1.000000	7.350890	0.843915
fwdgroup00011952	Armt1	intron	glia-enriched	not-localised	449	0.000000	-1.000000	0.006217	0.341091
fwdgroup00011984	Armt1	3pUTR_extended	glia-enriched	somata	911	24.000000	0.763274	19.221932	0.771588
fwdgroup00012424	Vip	3pUTR	neuron-enriched	not-localised	36	-14.263067	0.270688	18.481649	0.002967
fwdgroup00012425	Vip	3pUTR	neuron-enriched	not-localised	101	-3.541603	0.078334	3.079263	0.029623
fwdgroup00012428	Vip	3pUTR_extended	neuron-enriched	not-localised	809	24.000000	0.014057	0.556694	0.000135
revgroup00012473	Fbxo5	3pUTR	glia-enriched	cell-culture	510	0.000000	-1.000000	0.557720	0.927493
revgroup00012480	Mtrf1l	3pUTR_extended	shared	not-localised	4300	5.453958	0.493840	8.904686	0.611796
revgroup00012493	Mtrf1l	3pUTR_extended	shared	not-localised	1806	18.816170	0.546469	19.234752	0.648799
revgroup00012503	Mtrf1l	3pUTR	shared	not-localised	47	3.494765	0.960730	5.588415	0.910314
revgroup00012526	Rgs17	3pUTR_extended	neuron-enriched	not-localised	6973	15.141952	0.282084	16.171986	0.428792
revgroup00012528	Rgs17	3pUTR_extended	neuron-enriched	not-localised	6469	7.030045	0.100695	2.421685	0.101042
revgroup00012568	Rgs17	3pUTR_extended	neuron-enriched	not-localised	2798	12.642114	0.613508	13.628329	0.754670
revgroup00012578	Rgs17	3pUTR	neuron-enriched	not-localised	1603	4.318187	0.742030	7.766901	0.768117
revgroup00012586	Rgs17	3pUTR	neuron-enriched	not-localised	588	24.000000	0.508178	1.649166	0.348065
revgroup00012589	Rgs17	3pUTR	neuron-enriched	not-localised	78	7.060096	0.885150	7.901415	0.772793
fwdgroup00012736	Oprm1	intron	neuron-enriched	cell-culture	29014	0.000000	-1.000000	19.142367	0.148467
revgroup00012780	Ipcef1	3pUTR_extended	others	not-localised	4521	27.327552	0.232594	34.845733	0.154721
revgroup00012830	Cnksr3	3pUTR_extended	glia-enriched	not-localised	2401	0.000000	-1.000000	13.626530	0.425131
revgroup00012837	Cnksr3	3pUTR	glia-enriched	neuropil	1148	1.008949	0.759518	1.300185	0.208388
revgroup00012865	Cnksr3	intron	glia-enriched	not-localised	1978	0.000000	-1.000000	34.288997	0.925466
fwdgroup00012942	Scaf8	3pUTR_extended	others	not-localised	650	2.848922	0.987263	3.088616	0.989270
revgroup00013090	Tfb1m	3pUTR_extended	shared	not-localised	5113	22.027093	0.063534	19.972179	0.264386
revgroup00013092	Tfb1m	3pUTR_extended	shared	not-localised	4451	14.559345	0.931802	14.892042	0.892585
revgroup00013117	Tfb1m	3pUTR_extended	tissue	not-localised	1743	0.000000	-1.000000	4.634556	0.720552
revgroup00013124	Tfb1m	3pUTR	shared	not-localised	522	11.706833	0.730765	13.077286	0.814882
revgroup00013665	Tmem242	3pUTR_extended	neuron-enriched	not-localised	6569	-0.692589	0.221334	0.134635	0.041928
revgroup00013678	Tmem242	3pUTR_extended	tissue	not-localised	4761	0.000000	-1.000000	11.172986	0.343482
revgroup00013688	Tmem242	3pUTR_extended	neuron-enriched	not-localised	3167	24.000000	0.072570	1.574335	0.132690
revgroup00013695	Tmem242	3pUTR_extended	neuron-enriched	not-localised	814	0.000000	-1.000000	77.913541	0.113860
revgroup00013696	Tmem242	3pUTR	neuron-enriched	not-localised	201	24.000000	0.756204	7.610049	0.591324
revgroup00013734	Tmem242	intron	neuron-enriched	not-localised	1783	0.000000	-1.000000	0.627188	0.474294
fwdgroup00013837	Zdhhc14	3pUTR	neuron-enriched	somata	678	6.096973	0.934174	7.138659	0.918457
fwdgroup00013916	Snx9	3pUTR	glia-enriched	not-localised	420	2.651727	0.964568	5.184906	0.929946
fwdgroup00014014	Synj2	3pUTR	shared	not-localised	1088	6.389327	0.924531	8.497687	0.841156
fwdgroup00014024	Synj2	3pUTR_extended	shared	not-localised	2691	5.155964	0.746601	6.145652	0.528669
fwdgroup00014033	Synj2	3pUTR_extended	tissue	not-localised	4433	0.000000	-1.000000	19.484665	0.622197
fwdgroup00014054	Synj2	3pUTR_extended	shared	not-localised	7245	3.620218	0.719181	6.162763	0.858968
fwdgroup00014090	Gtf2h5	3pUTR	neuron-enriched	not-localised	447	24.000000	0.846864	47.788376	0.540378
fwdgroup00014179	Tulp4	intron	others	not-localised	22354	0.000000	-1.000000	4.208541	0.366902
fwdgroup00014298	Tulp4	CDS_extended	others	neuropil	2479	0.000000	-1.000000	17.407456	0.761587
fwdgroup00014323	Tulp4	CDS_extended	others	not-localised	4721	0.000000	-1.000000	9.245408	0.487645
fwdgroup00014371	Tmem181	intron	shared	not-localised	167	0.000000	-1.000000	49.858361	0.454037
fwdgroup00014392	Tmem181	3pUTR_extended	shared	not-localised	333	17.172210	0.705082	17.161741	0.783499
fwdgroup00014394	Tmem181	3pUTR_extended	shared	cell-culture	952	0.000000	-1.000000	2.698652	0.506709
revgroup00014391	Dynlt1	3pUTR_extended	tissue	not-localised	4136	0.000000	-1.000000	28.363233	0.703007
fwdgroup00014400	Tmem181	3pUTR_extended	shared	not-localised	1950	24.000000	0.960064	19.770641	0.962244
fwdgroup00014406	Tmem181	3pUTR_extended	shared	somata	2823	18.765765	0.750080	17.068792	0.794701
